Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
brief.properties,available,124,19%,5,"Business,Education,General,Law",,,
second.properties,available,120,23%,6,"General,Mathematics",,,
complete.properties,available,120,21%,8,"Manufacturing,Retail,Technology",,,
wizard.properties,available,118,42%,6,"Entertainment,Media,Technology",,,
flat.properties,available,116,24%,4,"Construction,Real Estate",,,
tenth.properties,available,116,7%,5,Mathematics,,,
equal.properties,available,116,19%,5,"Education,General,Law",,,
tonic.properties,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
acute.properties,available,112,9%,5,"Mathematics,Medicine,Science",,,
hotshot.properties,available,112,14%,7,"Business,Entertainment,Sports",,,
abiding.properties,available,106,5%,7,"General,Religion",,,
expert.properties,available,104,26%,6,"Business,Education,Technology",,,
teen.properties,available,104,14%,4,"Education,Entertainment,Healthcare",,,
extra.properties,available,102,26%,5,"Fashion,Retail,Technology",,,
absent.properties,available,102,8%,6,"Business,Education,Technology",,,
captive.properties,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
eight.properties,available,102,23%,5,"General,Mathematics",,,
remove.properties,available,100,13%,6,"Construction,Manufacturing,Technology",,,
adjunct.properties,available,100,5%,7,Education,,,
abrupt.properties,available,100,3%,6,"Medicine,Science",,,
crack.properties,available,100,20%,5,Sports,,,
eighth.properties,available,100,6%,6,Mathematics,,,
whiz.properties,available,100,12%,4,"Business,Education,Technology",,,
ninth.properties,available,100,9%,5,Mathematics,,,
sixth.properties,available,100,8%,5,Mathematics,,,
whizz.properties,available,98,11%,5,"Business,Education,Technology",,,
doable.properties,available,96,9%,6,"Business,Education,Technology",,,
forgiving.properties,available,96,3%,9,"Healthcare,Religion",,,
alamode.properties,available,96,12%,9,Fashion,,,
about.properties,available,94,28%,5,"Business,General,Media,Technology",,,
adequate.properties,available,94,9%,8,"Education,Healthcare,Technology",,,
around.properties,available,94,22%,6,"Business,General,Media,Technology",,,
abject.properties,available,94,7%,6,Humanities,,,
virtuoso.properties,available,94,16%,8,"Arts,Entertainment",,,
nought.properties,available,92,4%,6,Mathematics,,,
next.properties,available,92,43%,4,"Retail,Technology,Transportation",,,
twentieth.properties,available,92,3%,9,Mathematics,,,
derelict.properties,available,92,7%,8,"Construction,Real Estate",,,
neutral.properties,available,92,20%,7,"Business,Media,Politics",,,
adept.properties,available,92,24%,5,"Education,Health and Fitness,Sports",,,
exemplary.properties,available,92,5%,9,"Business,Education,Healthcare",,,
adjective.properties,available,92,5%,9,Education,,,
additional.properties,available,90,8%,10,"Fashion,Retail,Technology",,,
abortive.properties,available,90,1%,8,"Medicine,Science",,,
leash.properties,available,90,7%,5,"General,Health and Fitness,Retail",,,
endearing.properties,available,90,1%,9,"Entertainment,Fashion,Retail",,,
adoring.properties,available,90,2%,7,"Entertainment,Fashion,Retail",,,
riveting.properties,available,90,6%,8,"Entertainment,Media,Technology",,,
addictive.properties,available,90,9%,9,Healthcare,,,
gripping.properties,available,90,3%,8,"Entertainment,Media,Technology",,,
wide.properties,available,88,18%,4,"Business,Media,Technology",,,
proficient.properties,resell,88,8%,10,"Education,Health and Fitness,Sports",08/02/2025 15:15,08/02/2026 15:15,Domain Science Kutatási Szolgáltató Korlátolt Felelősségű Társaság
three.properties,available,88,24%,5,Mathematics,,,
activist.properties,available,88,12%,8,"Humanities,Politics",,,
eleven.properties,available,88,33%,6,Mathematics,,,
ten.properties,available,88,28%,3,"General,Mathematics",,,
hundred.properties,available,88,14%,7,Mathematics,,,
fifteen.properties,available,88,13%,7,Mathematics,,,
adlib.properties,available,88,7%,6,Entertainment,,,
actionable.properties,available,88,13%,10,"Business,Law",,,
twelve.properties,available,88,18%,6,"General,Mathematics",,,
cipher.properties,available,86,29%,6,Mathematics,,,
recondite.properties,available,86,4%,9,"Arts,Humanities,Science",,,
adolescent.properties,available,86,3%,10,"Education,Entertainment,Healthcare",,,
xix.properties,available,86,11%,3,Mathematics,,,
engrossing.properties,available,86,0%,10,"Entertainment,Media,Technology",,,
extempore.properties,available,86,3%,9,Entertainment,,,
aboriginal.properties,available,86,10%,10,Humanities,,,
xiv.properties,available,86,12%,3,Mathematics,,,
intent.properties,available,86,25%,6,"Business,Education,Technology",,,
attendant.properties,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
star.properties,available,86,40%,4,"Entertainment,Media,Sports",,,
accessory.properties,available,84,8%,9,"Fashion,Retail,Technology",,,
acting.properties,available,84,12%,6,Entertainment,,,
sharp.properties,available,84,34%,5,"Arts,Fashion",,,
deviate.properties,available,84,12%,7,"Medicine,Science",,,
twentyone.properties,available,84,13%,10,Mathematics,,,
thirteen.properties,available,84,10%,8,Mathematics,,,
thousand.properties,available,84,8%,8,Mathematics,,,
fourteen.properties,available,84,8%,8,Mathematics,,,
adjustable.properties,available,84,3%,10,"Manufacturing,Retail,Technology",,,
nineteen.properties,available,84,8%,8,Mathematics,,,
twentytwo.properties,available,84,11%,10,Mathematics,,,
grand.properties,available,84,25%,5,"Finance,General",,,
seventeen.properties,available,84,7%,9,Mathematics,,,
fivesome.properties,available,82,1%,8,Sports,,,
enduring.properties,available,82,9%,8,"Health and Fitness,Religion",,,
abenaki.properties,available,82,2%,7,Geography,,,
impromptu.properties,available,82,16%,9,Entertainment,,,
cleansing.properties,available,82,3%,9,Health and Fitness,,,
abdominal.properties,available,82,1%,9,"Health and Fitness,Medicine",,,
abroach.properties,available,82,1%,7,Food and Beverage,,,
